Title,Genre,Rating,Votes,Runtime
The Goop Lab,"
Documentary, Reality-TV            ",2.5,3004,30.0
Hinamatsuri,"
Animation, Comedy, Fantasy            ",8.0,1551,24.0
Big Bear,"
Comedy            ",5.1,1280,88.0
Private Life,"
Crime, Drama, Romance            ",6.6,498,70.0
Toy Story That Time Forgot,"
Animation, Short, Adventure            ",7.2,10644,22.0
Kakegurui,"
Drama, Mystery, Thriller            ",6.4,814,24.0
Thomas & Friends: All Engines Go!,"
Animation, Adventure, Comedy            ",0.0,0,30.0
From the Dark,"
Horror, Thriller            ",4.9,3108,90.0
Interceptor,"
Action, Drama, Thriller            ",0.0,0,
Zig & Sharko,"
Animation, Action, Comedy            ",6.9,469,7.0
7 Ilui Wangbi,"
Drama, Romance            ",7.8,388,
7 Guardians of the Tomb,"
Action, Adventure, Horror            ",4.5,3681,90.0
Criminal: France,"
Crime, Drama, Mystery            ",7.2,3576,39.0
Night on Earth,"
Documentary            ",8.2,3690,290.0
Asobi Asobase,"
Animation, Comedy            ",7.9,875,24.0
Love Per Square Foot,"
Comedy, Romance            ",7.2,7730,133.0
Feed the Beast,"
Crime, Drama            ",6.7,3309,60.0
History 101,"
Documentary, History            ",6.8,3560,22.0
From,"
Horror, Sci-Fi            ",0.0,0,
Hôhokekyo tonari no Yamada-kun,"
Animation, Comedy, Family            ",7.2,12928,104.0
Jinn,"
Fantasy, Horror, Thriller            ",4.2,4638,97.0
Ddo Oh Hae Yeong,"
Comedy, Fantasy, Romance            ",7.9,1479,70.0
Ajji,"
Crime, Drama            ",6.9,1016,104.0
Indian Matchmaking,"
Reality-TV, Romance            ",6.2,2785,
Flint Town,"
Documentary, Crime            ",7.9,3407,45.0
Elephant White,"
Action, Crime, Thriller            ",5.1,10586,91.0
Team Kaylie,"
Comedy            ",4.5,270,
Gharabeeb Soud,"
Drama, Thriller, War            ",5.6,239,
Headspace: Guide to Meditation,"
Documentary, Animation            ",8.5,1259,173.0
Pramface,"
Comedy            ",7.5,2408,
The Fix,"
Comedy, Talk-Show            ",7.1,1653,30.0
Schwarze Insel,"
Drama, Mystery, Thriller            ",0.0,0,104.0
Good Sam,"
Comedy            ",5.7,2651,89.0
House of the Rising Sun,"
Action, Crime, Drama            ",4.4,3438,90.0
Kuromukuro,"
Animation, Action, Sci-Fi            ",7.2,1165,24.0
Chocolate,"
Drama, Romance            ",7.7,910,70.0
Ore no imouto ga konna ni kawaii wake ga nai,"
Animation, Comedy, Drama            ",6.4,1310,25.0
Battlefish,"
Reality-TV            ",7.1,385,42.0
Shang hai bao lei,"
Action, Sci-Fi            ",4.3,2131,107.0
The Booth at the End,"
Drama, Mystery            ",8.3,4522,30.0
Tiny House Nation,"
Reality-TV            ",7.1,963,43.0
The Family,"
Documentary            ",6.4,3223,249.0
Wang-i doin nam-ja,"
Drama, History, Romance            ",7.5,357,80.0
Kyungwooui Soo,"
Drama, Romance            ",6.7,223,70.0
Chicago Party Aunt,"
Animation, Comedy            ",0.0,0,30.0
Eromanga Sensei,"
Animation, Comedy, Drama            ",5.4,1141,24.0
Melloga Chejil,"
Comedy, Romance            ",8.2,427,65.0
Extreme Engagement,"
Reality-TV            ",5.7,350,
Hotel Transylvania,"
Animation, Comedy, Family            ",5.5,579,21.0
The Thing About Jellyfish,"
Drama            ",0.0,0,
Happy Anniversary,"
Comedy            ",5.8,4026,78.0
Sen Hiç Atesböcegi Gördün mü?,"
Comedy, Drama            ",6.2,4193,113.0
The Naked Civil Servant,"
Biography, Comedy, Drama            ",7.9,1630,77.0
The Silent Sea,"
Adventure, Drama, Horror            ",0.0,0,
Romina,"
Horror, Thriller            ",2.2,2123,77.0
The Worthy,"
Action, Adventure, Family            ",5.1,1806,99.0
Roxanne Roxanne,"
Biography, Drama, Music            ",6.2,2968,100.0
100 Humans,"
Reality-TV            ",5.7,3456,
Little Boxes,"
Comedy, Drama            ",5.9,1785,84.0
Nocturama,"
Drama, Thriller            ",6.4,4659,130.0
City of Tiny Lights,"
Crime, Drama, Mystery            ",5.5,2279,110.0
Ricos de Amor,"
Comedy, Romance            ",5.8,2288,104.0
Trippin' with the Kandasamys,"
Comedy, Romance            ",5.1,292,93.0
Selfie 69,"
Action, Comedy, Romance            ",6.2,1597,116.0
Dave Chappelle: Sticks & Stones,"
Comedy            ",8.5,22574,65.0
"Bob Ross: Happy Accidents, Betrayal & Greed","
Documentary            ",0.0,0,92.0
"Strip Down, Rise Up","
Documentary            ",5.2,530,112.0
Sebelum Iblis Menjemput: Ayat Dua,"
Fantasy, Horror, Mystery            ",6.0,730,110.0
Dhamaka,"
Action, Thriller            ",0.0,0,103.0
Dragons: Rescue Riders,"
Animation, Adventure, Comedy            ",6.1,236,24.0
Pigoin,"
Crime, Drama, Mystery            ",8.2,1157,70.0
The Princess Switch 3,"
Comedy, Drama, Family            ",0.0,0,
L'uomo senza gravità,"
Comedy, Drama, Fantasy            ",6.3,2281,107.0
Pants on Fire,"
Comedy, Family            ",5.2,921,85.0
Shei xian ai shang ta de,"
Comedy, Drama, Romance            ",7.4,4864,100.0
Guillermo del Toro Presents 10 After Midnight,"
Horror, Mystery            ",0.0,0,
Mørke,"
Drama, Mystery, Thriller            ",6.7,3375,124.0
Tsuredure Children,"
Animation, Comedy, Romance            ",7.3,1288,13.0
Black Ink Crew,"
Reality-TV            ",4.6,383,42.0
Kujira no kora wa sajô ni utau,"
Animation, Drama, Fantasy            ",7.1,1400,24.0
Seoul Searching,"
Comedy, Drama, Music            ",7.0,1537,105.0
Beyblade Burst,"
Animation, Action, Comedy            ",6.7,364,24.0
Guga-ui Seo,"
Action, Comedy, Fantasy            ",8.0,1541,
Middle of Nowhere,"
Drama            ",6.4,1713,97.0
Zhen Huan Zhuan,"
Drama, History, Romance            ",8.4,1382,90.0
17 filles,"
Drama            ",6.0,3140,86.0
Brigada Costa del Sol,"
Action, Adventure, Drama            ",6.8,484,
The Battered Bastards of Baseball,"
Documentary, Sport            ",8.0,3648,80.0
Gyeolhongyeyak,"
Drama            ",7.6,549,75.0
Shaitan,"
Action, Crime, Drama            ",7.2,8238,121.0
Fire Chasers,"
Documentary            ",6.6,343,
Onze Jongens in Miami,"
Comedy            ",4.4,360,115.0
Latte Igel und der magische Wasserstein,"
Animation, Adventure, Comedy            ",5.7,782,81.0
Jue Dai Shuang Jiao,"
Action, Adventure, Comedy            ",8.2,512,
The Who Was? Show,"
Short, Adventure, Comedy            ",6.8,560,25.0
Cuando los ángeles duermen,"
Action, Adventure, Crime            ",5.5,3386,91.0
Loosideu deurim,"
Sci-Fi, Thriller            ",6.2,3227,101.0
The Watcher,"
Horror, Mystery            ",0.0,0,
A Very Murray Christmas,"
Comedy, Music, Musical            ",5.5,14605,56.0
Shadow,"
Action, Crime, Drama            ",6.6,885,45.0
End of the Road,"
Thriller            ",0.0,0,
'76,"
Drama, Romance            ",7.2,58,118.0
Sense8: Creating the World,"
Documentary, Short, Sci-Fi            ",8.6,2429,26.0
Malibu Rescue,"
Action, Comedy, Family            ",5.0,1090,68.0
The Task,"
Horror            ",4.3,3389,94.0
Nadie Sabe Que Estoy Aquí,"
Drama, Music            ",6.5,3639,91.0
Angry Birds Toons,"
Animation, Comedy, Family            ",6.2,684,3.0
Eizouken ni wa Te wo Dasu na!,"
Animation, Comedy, Drama            ",8.2,1144,24.0
Chatroom,"
Drama, Thriller            ",5.5,8963,97.0
Hating Peter Tatchell,"
Documentary            ",7.9,396,91.0
Strange Empire,"
Drama, Western            ",6.4,1697,60.0
Forks Over Knives,"
Documentary            ",7.7,11950,96.0
Bon Bini Holland,"
Comedy            ",5.5,1211,85.0
O Matador,"
Action, Western            ",6.1,2428,99.0
Ultras,"
Drama            ",6.0,4406,108.0
ReBoot: The Guardian Code,"
Action, Comedy, Drama            ",3.8,1130,30.0
Stereo,"
Crime, Thriller            ",6.5,4733,98.0
Kanata no Astra,"
Animation, Action, Adventure            ",8.1,1008,24.0
Adult Beginners,"
Action, Comedy, Drama            ",5.6,8169,92.0
Benvinguts a la família,"
Comedy            ",6.7,385,
Malibu Rescue: The Next Wave,"
Action, Comedy, Family            ",4.8,692,68.0
El Camino de Xico,"
Animation            ",5.2,407,85.0
Azizler,"
Comedy, Drama            ",6.0,9497,96.0
Green Beret's Guide to Surviving the Apocalypse,"
Comedy            ",0.0,0,
Jin Xiu Wei Yang,"
Drama, History, Romance            ",7.8,630,45.0
Publieke werken,"
Drama, History            ",6.7,2124,115.0
Gaetmaeul Chachacha,"
Comedy, Romance            ",0.0,0,
Still 2gether,"
Drama, Romance            ",7.9,537,
Kings of America,"
Drama            ",0.0,0,
Preservation,"
Horror, Thriller            ",4.7,5560,90.0
Wish You,"
Drama, Music, Romance            ",6.5,458,102.0
Hataraku Saibo Black,"
Animation, Action, Comedy            ",7.5,291,24.0
Drag Race: Untucked!,"
Reality-TV            ",7.8,3154,21.0
John Mulaney & the Sack Lunch Bunch,"
Comedy, Family, Musical            ",7.5,3313,70.0
Ricky Gervais: Humanity,"
Comedy            ",8.0,16246,79.0
Good Morning-Call: Guddo môningu kôru,"
Comedy, Romance            ",7.5,2877,48.0
Love Aaj Kal,"
Drama, Romance            ",4.7,7937,142.0
A pesar de todo,"
Comedy            ",5.4,4437,78.0
The Surgeon's Cut,"
Documentary            ",8.5,850,
Hot Date,"
Comedy            ",7.2,574,20.0
Shakthi: The Power,"
Action, Drama            ",6.0,4717,170.0
The Ghost Bride,"
Drama            ",6.0,607,
Dragon's Lair,"
Action, Adventure, Fantasy            ",0.0,0,
Cocaine Cowboys: Reloaded,"
Documentary, Crime, History            ",7.7,1359,152.0
Yat nim mou ming,"
Drama            ",7.2,1780,101.0
Mata Batin,"
Drama, Fantasy, Horror            ",5.2,1257,107.0
Southcliffe,"
Drama, Thriller            ",7.0,2702,188.0
He Walked by Night,"
Crime, Film-Noir, Thriller            ",7.1,5451,79.0
Finding Bliss,"
Comedy, Romance            ",5.3,2442,96.0
Myeongbulheojeon,"
Drama, Fantasy, Romance            ",7.9,894,60.0
Horsin' Around,"
Short, Comedy, Music            ",7.4,627,1.0
Nuestros amantes,"
Comedy, Drama, Romance            ",6.8,3890,88.0
Gakuen mokushiroku - HIGHSCHOOL OF THE DEAD: Dorifutâzu obu za deddo,"
Animation, Short, Comedy            ",5.5,269,16.0
Dive Club,"
Drama, Family, Mystery            ",7.6,14,
Paranormal Investigation,"
Horror, Thriller            ",3.7,1434,92.0
Along for the Ride,"
Drama, Romance            ",0.0,0,
Saikometeuri Geunyeoseok,"
Fantasy, Mystery, Romance            ",7.8,1197,65.0
Menendez Parte 1: El día del Señor,"
Drama, Horror, Thriller            ",4.9,831,93.0
Little Big Women,"
Drama            ",7.3,1790,123.0
Fugitiva,"
Action, Adventure, Crime            ",5.7,585,60.0
Colin in Black & White,"
Biography, Drama, Sport            ",0.0,0,
Kore wa Zombie desu ka?,"
Animation, Action, Comedy            ",7.1,1562,25.0
Gente que viene y bah,"
Comedy, Romance            ",6.2,2758,97.0
Dead in Tombstone,"
Action, Fantasy, Horror            ",4.9,5271,100.0
Puffin Rock,"
Animation, Family            ",8.7,783,7.0
El caso Alcàsser,"
Documentary, Crime            ",7.1,1832,303.0
Stone of Destiny,"
Adventure, Comedy, Crime            ",6.8,3883,96.0
Saui Chanmi,"
Drama, History, Music            ",7.5,827,35.0
Destruction Los Angeles,"
Action, Adventure            ",4.0,2542,93.0
Christmas Wedding Planner,"
Romance            ",4.4,5281,86.0
My Little Pony: Equestria Girls - Rainbow Rocks,"
Animation, Adventure, Comedy            ",7.0,2735,75.0
La enfermedad del domingo,"
Drama            ",6.9,3246,113.0
Home,"
Horror            ",4.8,6949,91.0
Maximum Conviction,"
Action, Thriller            ",4.8,6627,98.0
Manson Family Vacation,"
Comedy, Drama, Thriller            ",5.8,2805,84.0
Rise of the Teenage Mutant Ninja Turtles,"
Animation, Action, Adventure            ",0.0,0,
Social Distance,"
Comedy, Drama            ",5.7,586,
Drive,"
Action, Crime, Thriller            ",3.6,6614,147.0
Nieve negra,"
Crime, Drama, Mystery            ",6.2,5553,90.0
Expelled,"
Comedy            ",4.8,6592,85.0
Haunted: Latin America,"
Horror, Reality-TV            ",5.4,479,
Kim Gwajang,"
Comedy, Drama            ",7.7,687,60.0
Pottersville,"
Comedy            ",5.4,4141,84.0
Mauvaises herbes,"
Comedy            ",7.3,4780,100.0
A Christmas Prince: The Royal Wedding,"
Drama, Romance            ",5.3,9527,92.0
Re: Mind,"
Mystery, Thriller            ",5.0,1337,30.0
Stove League,"
Drama, Sport            ",8.4,488,60.0
The Great Canadian Baking Show,"
Game-Show            ",7.5,281,44.0
Transferts,"
Sci-Fi, Thriller            ",7.3,916,56.0
Taylor Swift: Reputation Stadium Tour,"
Documentary, Music            ",8.4,4484,125.0
Casting JonBenet,"
Documentary, Crime, Drama            ",6.1,5171,80.0
The King and I,"
Animation, Family, Fantasy            ",4.5,3922,87.0
Un Bandido Honrado,"
Comedy, Crime, Drama            ",7.8,82,
The School Nurse Files,"
Comedy, Drama, Fantasy            ",6.5,915,51.0
Istanbul Kirmizisi,"
Drama            ",5.5,4734,110.0
All Quiet on the Western Front,"
Action, Drama, History            ",0.0,0,
Caïd,"
Action, Crime, Drama            ",6.2,568,
Patriot Act with Hasan Minhaj,"
Comedy, News, Talk-Show            ",8.3,6817,25.0
"Haideu, Jikil, Na","
Comedy, Drama, Romance            ",7.0,978,
Uppena,"
Action, Drama, Romance            ",6.8,3232,147.0
Duck Duck Goose,"
Animation, Adventure, Comedy            ",5.8,3335,91.0
Code 8: Part II,"
Action, Crime, Drama            ",0.0,0,
Loev,"
Drama, Romance            ",5.8,2491,92.0
Hollywood Darlings,"
Comedy            ",6.7,493,21.0
The Stranded,"
Adventure, Drama, Mystery            ",6.3,1081,40.0
Cloudy with a Chance of Meatballs,"
Animation, Comedy, Family            ",3.3,699,30.0
All the Queen's Men,"
Action, Comedy, Drama            ",4.9,2590,99.0
Been So Long,"
Drama, Musical, Romance            ",5.5,996,100.0
Eung-dab-ha-ra 1997,"
Comedy, Drama, Romance            ",8.1,1775,50.0
Winter on Fire: Ukraine's Fight for Freedom,"
Documentary            ",8.4,13492,102.0
Dating Around,"
Reality-TV, Romance            ",6.3,1094,30.0
Le manoir,"
Comedy, Horror            ",4.6,2393,100.0
Scare Tactics,"
Comedy, Horror, Reality-TV            ",6.7,2413,
The Woman in the House,"
Comedy, Drama, Mystery            ",0.0,0,
Ali's Wedding,"
Comedy, Drama, Romance            ",6.9,4644,110.0
The Magician's Elephant,"
Animation, Adventure, Comedy            ",0.0,0,
Aci Kiraz,"
Drama            ",5.0,229,94.0
"What Happened, Miss Simone?","
Documentary, Biography, Music            ",7.6,13071,101.0
A Secret Love,"
Documentary, Drama            ",7.9,3816,81.0
The Fisherman's Diary,"
Drama            ",6.5,480,143.0
Cabras da Peste,"
Action, Comedy, Crime            ",6.2,1433,97.0
The Confession Tapes,"
Documentary, Crime            ",7.5,5017,46.0
Any Day Now,"
Drama            ",7.5,6037,98.0
Hijacked,"
Action, Crime, Thriller            ",3.8,3608,86.0
How to Fix a Drug Scandal,"
Documentary, Crime            ",7.0,2676,211.0
O Escolhido,"
Mystery, Thriller            ",5.8,611,40.0
Into the Beat - Dein Herz tanzt,"
Drama, Music, Romance            ",5.3,1063,102.0
Labrador,"
Drama            ",5.7,231,73.0
Force 2,"
Action, Adventure, Thriller            ",6.2,5138,127.0
Room 2806: The Accusation,"
Documentary, Crime            ",7.0,2025,197.0
Smosh: The Movie,"
Adventure, Comedy, Fantasy            ",3.3,6264,84.0
Rabbids Invasion,"
Animation, Comedy, Family            ",5.0,1542,
Inside Bill's Brain: Decoding Bill Gates,"
Documentary            ",7.9,9928,52.0
Barbie & Chelsea the Lost Birthday,"
Animation, Adventure, Family            ",6.0,75,60.0
Laibeu,"
Comedy, Crime, Drama            ",8.4,994,60.0
Quarantine Tales,"
Drama, Thriller            ",6.5,90,87.0
Hard Breakers,"
Comedy            ",2.8,1269,99.0
Cities of Last Things,"
Crime, Drama, Sci-Fi            ",6.2,1432,106.0
1898. Los últimos de Filipinas,"
Drama, History, War            ",6.5,3074,105.0
How Many Kilograms are the Dumbbells You Lift?,"
Animation, Comedy, Sport            ",7.1,584,
Chaman Bahaar,"
Comedy, Drama            ",7.0,6027,111.0
X: Past Is Present,"
Drama, Mystery, Romance            ",5.2,658,105.0
Lured,"
Crime, Film-Noir, Mystery            ",7.0,3337,102.0
"Boo, Bitch","
Comedy            ",0.0,0,
Human Resources,"
Animation, Comedy, Romance            ",0.0,0,
Johan Falk: Kodnamn: Lisa,"
Action, Crime, Thriller            ",7.5,3033,106.0
Rock My Heart,"
Drama            ",6.5,864,105.0
Let's Eat,"
Comedy, Romance            ",7.7,540,50.0
Go! Go! Cory Carson,"
Animation, Family            ",8.1,187,
El incidente,"
Horror, Sci-Fi, Thriller            ",6.3,3417,100.0
Trollhunters: Happy Birthday to You!,"
Animation, Short            ",7.5,24,1.0
Five Minarets in New York,"
Action            ",5.8,14788,119.0
Prince of Peoria,"
Comedy, Family            ",5.9,392,25.0
Himlen är oskyldigt blå,"
Drama            ",6.6,3484,110.0
Alles ist gut,"
Drama            ",6.5,1293,90.0
Half Bad,"
Adventure, Drama, Fantasy            ",0.0,0,60.0
Pyaar Ka Punchnama 2,"
Comedy, Drama, Romance            ",7.2,14399,137.0
Nachthelle,"
Drama, Mystery            ",5.1,1199,86.0
Hayop Ka!,"
Animation, Comedy, Romance            ",7.1,181,73.0
F.R.E.D.I.,"
Adventure, Family, Sci-Fi            ",5.1,902,89.0
Oorlogswinter,"
Drama, History, War            ",7.0,12479,103.0
Ri-eol,"
Action            ",5.0,1115,137.0
Sidonia no Kishi,"
Animation, Action, Adventure            ",7.8,4192,
M'entends-tu?,"
Comedy, Drama            ",7.7,552,30.0
"1,000,000 yen no Onnatachi","
Comedy, Drama, Mystery            ",7.5,1636,30.0
El Hijo,"
Drama, Mystery, Thriller            ",5.5,3270,92.0
Single All the Way,"
Comedy, Drama, Romance            ",0.0,0,
BRZRKR,"
Action, Adventure, Drama            ",0.0,0,
Kaze ga tsuyoku fuiteiru,"
Animation, Comedy, Sport            ",8.4,916,23.0
Les de l'hoquei,"
Drama, Sport            ",6.9,381,50.0
John Henry and the Statesmen,"
Adventure, Drama, Family            ",0.0,0,
Rurôni Kenshin: Seisô hen,"
Animation, Adventure, Drama            ",8.2,4043,83.0
The Boulet Brothers' DRAGULA: Search for the World's First Drag Supermonster,"
Game-Show, Horror, Reality-TV            ",7.9,813,48.0
Kono Oto Tomare!,"
Animation, Drama, Music            ",8.0,538,23.0
Pretty Smart,"
Comedy            ",0.0,0,
Strange Weather,"
Drama            ",6.0,1353,92.0
Heart of Stone,"
Action, Crime, Thriller            ",0.0,0,
The Homeless World Cup,"
Drama, Sport            ",0.0,0,
Sword Gai: The Animation,"
Animation, Action, Fantasy            ",5.9,850,22.0
Rising Phoenix,"
Documentary, Sport            ",8.1,1405,105.0
Ava's Possessions,"
Comedy, Horror, Mystery            ",5.7,2990,89.0
Chopsticks,"
Comedy, Drama            ",6.5,4382,100.0
The House Next Door,"
Horror            ",6.8,2207,137.0
Take the 10,"
Comedy            ",4.8,2926,80.0
"Ariana Grande: Excuse Me, I Love You","
Documentary, Music            ",6.4,2141,97.0
Home: Adventures with Tip & Oh,"
Animation, Short, Adventure            ",6.0,543,23.0
Afterlife of the Party,"
Comedy            ",0.0,0,109.0
Kami-tachi ni Hirowareta Otoko,"
Animation, Adventure, Fantasy            ",7.0,448,23.0
Gaya sa pelikula,"
Romance            ",8.6,581,
Hangman,"
Horror, Thriller            ",4.7,2210,85.0
Samurai Rabbit: The Usagi Chronicles,"
Animation, Action, Adventure            ",0.0,0,
Sugar Rush,"
Game-Show            ",7.0,1299,
Pai em Dobro,"
Comedy, Drama, Family            ",5.6,1078,103.0
Chip and Potato,"
Animation            ",6.2,117,23.0
Paskal: The Movie,"
Action, Drama            ",6.8,2853,115.0
Drug Lords,"
Documentary            ",6.8,1153,42.0
Conspiracy of Silence,"
Crime, Drama, Thriller            ",6.5,491,45.0
Lego Jurassic World: Legend of Isla Nublar,"
Animation, Adventure, Comedy            ",6.8,203,
Under Suspicion: Uncovering the Wesphael Case,"
Documentary, Crime            ",6.3,534,180.0
Circus of Books,"
Documentary, Biography, History            ",7.1,4043,92.0
Deuces,"
Action, Crime, Drama            ",5.9,940,87.0
James Acaster: Repertoire,"
Comedy            ",8.5,2950,205.0
Superlópez,"
Action, Comedy, Sci-Fi            ",5.4,3326,108.0
Virunga,"
Documentary, War            ",8.2,10789,100.0
The Mudge Boy,"
Crime, Drama, Romance            ",7.1,4347,94.0
Geunyeoneun Geojitmaleul Neomoo Saranghae,"
Music, Romance            ",6.9,691,
Mysterious Island,"
Adventure, Fantasy, Horror            ",3.5,1025,91.0
Siffredi Late Night - Hard Academy,"
Documentary            ",5.9,86,25.0
Dinotrux,"
Animation, Short, Action            ",6.9,417,
Goedam,"
Short, Horror, Mystery            ",5.8,694,10.0
BigBug,"
Adventure, Comedy, Fantasy            ",0.0,0,
It's Bruno!,"
Comedy            ",7.5,2662,15.0
Criminal: Spain,"
Crime, Drama, Mystery            ",6.9,3675,40.0
Wedding Season,"
Comedy, Romance            ",0.0,0,
Bread Barbershop,"
Animation            ",8.6,83,
The 39 Steps,"
Drama, Thriller            ",0.0,0,
Dirty John: The Dirty Truth,"
Documentary, Crime            ",6.1,1798,88.0
"Crack: Cocaine, Corruption & Conspiracy","
Documentary, Crime, History            ",6.7,2795,89.0
The Imperfects,"
Adventure, Drama, Fantasy            ",0.0,0,
The House,"
Animation, Comedy, Thriller            ",0.0,0,
Sparta,"
Drama, Thriller            ",6.6,173,53.0
Hate Story 3,"
Drama, Thriller            ",4.5,3085,126.0
Otto no chinpo ga hairanai,"
Drama, Romance            ",6.5,700,40.0
The Last of Robin Hood,"
Biography, Drama, Romance            ",5.7,2131,94.0
Iliza Shlesinger: War Paint,"
Comedy            ",6.7,1924,75.0
Hannah Gadsby: Nanette,"
Documentary, Comedy            ",8.3,10914,69.0
Son,"
Adventure, Drama, Mystery            ",7.4,789,90.0
Nooni Booshige,"
Comedy, Drama, Fantasy            ",8.1,501,60.0
The Oscars,"
Music            ",6.6,1024,170.0
Bill Burr: Paper Tiger,"
Comedy            ",8.2,9499,67.0
Yoake tsugeru Rû no uta,"
Animation, Adventure, Comedy            ",6.8,1991,112.0
The Victims' Game,"
Drama, Thriller            ",7.4,1100,
King Jack,"
Adventure, Drama            ",7.0,3119,81.0
Diecisiete,"
Drama            ",7.2,3610,99.0
Gli infedeli,"
Comedy            ",4.6,1378,88.0
Fed Up,"
Documentary            ",7.7,11714,92.0
Untitled Kenya Barris/Jonah Hill Comedy Project,"
Comedy            ",0.0,0,
Memorias de Idhún,"
Animation, Action, Adventure            ",5.4,475,25.0
"Te quiero, imbécil","
Comedy            ",5.8,2891,87.0
The Barkley Marathons: The Race That Eats Its Young,"
Documentary, Adventure, History            ",7.8,4828,89.0
Irmandade,"
Crime, Drama, Thriller            ",7.6,1081,50.0
Maeumui sori,"
Comedy            ",8.3,875,
Ildan Ddeugeobge Chungsohara,"
Comedy, Romance            ",6.7,939,70.0
Tereddüt,"
Drama            ",6.5,2160,105.0
El cuaderno de Sara,"
Adventure, Drama, Mystery            ",5.9,2554,115.0
D.P.,"
Action, Crime, Drama            ",0.0,0,
Six Windows in the Desert,"
Short, Adventure, Comedy            ",4.2,2898,
Whitney,"
Documentary, Biography, Drama            ",7.3,7004,120.0
Gaga: Five Foot Two,"
Documentary, Music            ",7.0,12114,100.0
Hellions,"
Drama, Horror, Thriller            ",4.2,3083,80.0
Santana,"
Action, Crime, Drama            ",3.8,876,106.0
Happy Old Year,"
Drama, Romance            ",7.2,1812,113.0
A New York Christmas Wedding,"
Drama, Romance            ",5.4,860,88.0
Teenage Cocktail,"
Drama, Thriller            ",5.8,5070,88.0
Forbidden Ground,"
Action, Drama, War            ",4.9,1960,95.0
Ruby the Hero Dog,"
Drama            ",0.0,0,
Miss India,"
Drama            ",3.6,1793,136.0
Modooui Geojitmal,"
Drama, Mystery, Thriller            ",7.0,260,60.0
Chupa,"
Adventure, Drama, Fantasy            ",0.0,0,
Gamers!,"
Animation, Comedy, Romance            ",6.6,1121,24.0
Losers,"
Documentary, Sport            ",7.7,1551,30.0
Under solen,"
Drama, Romance            ",6.7,2510,130.0
Tiger & Bunny,"
Animation, Action, Adventure            ",7.4,833,
Stranded in Paradise,"
Comedy, Romance            ",5.5,1573,86.0
Ahiru no Sora,"
Animation, Sport            ",7.5,451,
The Secret Diary of an Exchange Student,"
Comedy, Romance            ",0.0,0,96.0
Harvey Street Kids,"
Animation, Short, Adventure            ",6.6,219,23.0
Gigantosaurus,"
Animation            ",7.2,124,22.0
Laipeu,"
Drama, Thriller            ",7.6,528,60.0
QB1: Beyond the Lights,"
Documentary, Sport            ",7.8,813,35.0
Damsels in Distress,"
Comedy, Drama, Romance            ",5.7,9343,99.0
Jiva!,"
Drama            ",5.7,201,50.0
RuPaul's Secret Celebrity Drag Race,"
Reality-TV            ",6.9,1223,
The Holiday Calendar,"
Drama, Fantasy, Romance            ",5.7,8871,95.0
Gojira: hoshi wo kû mono,"
Animation, Action, Adventure            ",5.1,3856,91.0
Back Street Girls,"
Animation, Comedy            ",6.7,689,24.0
Kings of Jo'burg,"
Crime, Thriller            ",5.4,439,
Tomorrow Is Forever,"
Drama, Romance, War            ",7.4,2456,104.0
Rhythm + Flow,"
Music, Reality-TV            ",7.7,1409,
Otwórz oczy,"
Drama, Mystery, Thriller            ",0.0,0,
Connected: The Hidden Science of Everything,"
Documentary, Comedy            ",7.5,1450,
¿A quién te llevarías a una isla desierta?,"
Drama            ",5.3,2335,93.0
We Are the Champions,"
Documentary, Game-Show            ",7.1,1181,30.0
Historia de un Crimen: La Busqueda,"
Crime            ",5.5,561,
Hold Your Breath,"
Horror, Thriller            ",3.3,1906,87.0
Song Exploder,"
Documentary, Music            ",7.4,630,
Battle,"
Drama, Music, Romance            ",5.9,3918,95.0
Gap tung kei hap,"
Action, Comedy, History            ",4.8,3436,104.0
Booba,"
Animation, Comedy, Family            ",7.0,318,96.0
Rainbow High,"
Animation            ",6.1,59,
Chris Rock: Tamborine,"
Comedy            ",6.6,6488,98.0
Farewell Amor,"
Drama, Music, Romance            ",6.9,927,95.0
Preso No. 1,"
Action, Crime, Drama            ",6.9,62,
Imperial Dreams,"
Drama            ",6.7,4260,87.0
Pac-Man and the Ghostly Adventures,"
Animation, Action, Comedy            ",4.9,555,30.0
Edha,"
Drama            ",4.8,603,40.0
Madaari,"
Adventure, Drama, Thriller            ",7.6,13823,133.0
Go Jetters,"
Animation            ",8.0,128,
Plan de fuga,"
Action, Adventure, Crime            ",5.6,1755,105.0
Taj Mahal 1989,"
Comedy, Drama, Romance            ",7.5,1367,33.0
Audrie & Daisy,"
Documentary, Crime            ",7.2,6227,95.0
The Playbook,"
Documentary, Sport            ",7.5,1165,
El Cuaderno de Tomy,"
Drama            ",6.3,794,84.0
Muscle Shoals,"
Documentary, Biography, History            ",7.8,3695,111.0
Las tres muertes de Marisela Escobedo,"
Documentary, Crime            ",8.2,1381,109.0
4 latas,"
Comedy, Drama            ",5.9,2903,105.0
Angkeumhan Dolshingnyeo,"
Comedy, Romance            ",7.6,817,55.0
Jak zostac gwiazda,"
Comedy, Music            ",5.5,898,118.0
26 nyeon,"
Drama, Thriller            ",6.3,1054,135.0
Silencer,"
Action, Drama, Thriller            ",3.9,1041,88.0
Cougar Hunting,"
Comedy, Romance            ",3.7,1103,102.0
Dream Home Makeover,"
Reality-TV            ",5.6,913,
The Submarine Kid,"
Drama, Romance            ",5.8,822,109.0
